excluded,,,,bluemailbox,bluemailbox,bluemailbox,bluemailbox,bluemailbox,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,bluehouse,bluehouse,bluehouse,bluehouse,bluehouse,cuttree,cuttree,cuttree,cuttree,cuttree,breakwindows,breakwindows,breakwindows,breakwindows,breakwindows,razehouse,razehouse,razehouse,razehouse,razehouse,bleachlawn,bleachlawn,bleachlawn,bleachlawn,bleachlawn,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,erasemural,erasemural,erasemural,erasemural,erasemural,smearpoop,smearpoop,smearpoop,smearpoop,smearpoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3EZLtbk8yjxMIrI,He wants Hank to do something with neighbor's property.,No he can't.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,35,45,,English,5,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,11,5,5,I am paying attention,None
,R_3DuqpDxBnamDUPM,Whether ank would be willing to do something particular to his neighbor;s property in exchange for a sum of money.,His neighbor is on vacation and can't be reached.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Male,42,33,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,13,8,3,I am paying attention,All was clear. ty
,R_3R9rjKDUwSXJeVl,He wants hank to do something to hank's neighbor's property,No,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,female,36,11,,english,5,,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,14,3,5,I am paying attention,no
,R_7h0f5zgwUSqYLWR,The proposal was that Hank would receive money if he did something do his neighbor's property.,No because the neighbor is on vacation.,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,Male,30,45,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,11,5,2,I am paying attention,No
,R_7LRNUkmMcu35ueA,Do something to his neighbors property for money or not.,No.,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,Female,58,5,,English,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,14,11,6,I am paying attention,
,R_6f2tggfYpKxISj1,The stranger asked Hank to do something to his neighbor's property in exchange for cash.,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,36,23,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,11,10,5,I am paying attention,None
,R_6JJCjw2UI2ffkiG,The proposal is to do something to Hanks neighbors property.,No,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,Male,43,39,,English,5,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,14,7,5,I am paying attention,The answers to all of the questions were the same regardless of the money amount. It's not morally acceptable to do anything to his neighbor's property without permission.
,R_6VF9jgGvIoETOMZ,"If the stranger agrees to help do something particular to Hank's neighbor's property, he will receive money, however he need an answer today.",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,39,3,,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,13,5,6,I am paying attention,
,R_1e3Q9N5RzKSduiJ,He wants him do something to his neighbors property.,"No, his neighbor is on vacation for a week.",1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,male,43,18,,English,5,,,,,,1,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,14,5,I am paying attention,
,R_6oLvGItkZNgPC1Q,Do something to his neighbor's property for money,no,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,Male,36,26,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,11,2,I am paying attention,
,R_7fUxnJsTaghuorc,do something particular to Hank's neighbor's property and he will receive a sum of money which Hank can use however he likes,No.,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,male,38,45,,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,13,11,5,I am paying attention,
,R_1LljRnrAevQTSDf,cash for doing something particular to Hank's neighbor's property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,33,39,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,10,5,I am paying attention,
,R_3fgdwcUC2PsS80h,To do something to Hank's neighbor's property for money,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,male,47,48,,english,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,13,9,3,I am paying attention,
,R_5WuJIZRpW05YO3Z,To do something  to Hank's neighbor's property.,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,31,11,,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,1,5,I am paying attention,"Just because something is morally wrong doesn't mean I wouldn't understand someone taking the offer, if the questions were worded differently I might have picked different answers"
,R_1XNx2bVwBjQwqZP,Do something particular to Hank's neighbor's property,No,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,male,44,23,,english,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,12,4,2,I am paying attention,
,R_7c2y9gxg4ZuTZKb,Hank to carry out the stranger's request under certain conditions. Imagine that the stranger only gives one of these offers to Hank and that Hank will never hear from the stranger again,Hank cannot communicate with his neighbor about the stranger's offer because the neighbor is away on vacation and cannot be reached for the next week,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,female,37,1,,english,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,12,5,I am paying attention,
,R_1WRJEjyq7ugmqw9,"It appears that the mysterious stranger is offering Hank monetary compensation in exchange for Hank carrying out a specific action on his neighbor's property. The nature of the proposed action is unknown, but it seems to be something significant enough to warrant the large sum of money being offered.",Hank's neighbor is away on vacation and cannot be communicated with for the next week.,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,female,40,42,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,11,5,6,I am paying attention,"Overall, ensuring clarity, consistency, and thought-provoking scenarios can enhance the quality of your survey and the insights gathered from participant"
,R_30P2LnfKRE1d7ch,To do something particular to Hank's neighbor's property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,35,33,,"English, Spanish",5,,,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,12,9,5,I am paying attention,"Great Study, hope to do more in the future."
,R_5Bd1wDSJWunVopH,whether he would do something to neighbors property,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,34,5,,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,14,12,6,I am paying attention,
,R_3DNxs5oNYHxrNpC,Do something to his neighbor's property.,no,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,female,50,10,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,15,6,3,I am paying attention,no
,R_5p139da0MVHsD4Z,"He can do something to his neighbor's property for cash, or he can say no and the man offering the cash leaves with his money.",No,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,male,28,21,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,13,3,2,I am paying attention,no
