"","subjectcode","answer","question","context"
"76","R_3a9Vvch7ap1HvOo",1,"1000000","bluemailbox"
"77","R_1DXSSWbWjk9IRgb",0,"1000000","bluemailbox"
"78","R_76i1GiDWYW1bZIa",1,"1000000","bluemailbox"
"79","R_7Eb3l7vk7RIVyA9",1,"1000000","bluemailbox"
"80","R_7j11WHupxjlyRoZ",1,"1000000","bluemailbox"
"81","R_6qVEs35IZjrWchF",0,"1000000","bluemailbox"
"82","R_53uFXweaOctOQH7",1,"1000000","bluemailbox"
"83","R_3e5mi67V25V9jyV",1,"1000000","bluemailbox"
"84","R_67BtlgeG4xPnfxp",1,"1000000","bluemailbox"
"85","R_5CXXRX2VrDeebiF",0,"1000000","bluemailbox"
"86","R_6DomcBTN3Z4bC1z",0,"1000000","bluemailbox"
"87","R_7vexT78rtwVINGS",1,"1000000","bluemailbox"
"88","R_10S9gmEgPz5XJRn",1,"1000000","bluemailbox"
"89","R_1A2xTeY9CfXnqgx",1,"1000000","bluemailbox"
"90","R_1B2SIUEPCHsiDBn",0,"1000000","bluemailbox"
"91","R_5NwVDnrxIGNbfgr",1,"1000000","bluemailbox"
"92","R_3Pc8KMN4jxqiPFw",1,"1000000","bluemailbox"
"93","R_7MyEIxe92Tj0ekx",0,"1000000","bluemailbox"
"94","R_4xxtVZBdbvBvs9z",0,"1000000","bluemailbox"
"95","R_6M6wcKLgqNHdQso",0,"1000000","bluemailbox"
"96","R_6AesSerAQPGYyaJ",0,"1000000","bluemailbox"
"97","R_6G6Yv8m12dlADKN",1,"1000000","bluemailbox"
"98","R_7MhEveujIfnhkak",0,"1000000","bluemailbox"
"99","R_5GnokOz4d3Gz2Br",0,"1000000","bluemailbox"
"100","R_15SWBei8bCcYpbf",0,"1000000","bluemailbox"
"101","R_7QgBdUWj72saymS",1,"1000000","bluemailbox"
"102","R_5GcRDCTDgxetCHU",1,"1000000","bluemailbox"
"103","R_1eKWusLawIOfZTj",1,"1000000","bluemailbox"
"104","R_674luqY6eSalQr4",0,"1000000","bluemailbox"
"105","R_6MPTeiF2Pl1t0SB",0,"1000000","bluemailbox"
"106","R_3gbb7u0jpFabcid",1,"1000000","bluemailbox"
"107","R_1R0bIiGWnp2QGjv",1,"1000000","bluemailbox"
"108","R_3Di3d9K1bfbGd2h",1,"1000000","bluemailbox"
"109","R_1YzjqQQP2kYjvN4",1,"1000000","bluemailbox"
"110","R_1t2Le8dbGuUDPmj",0,"1000000","bluemailbox"
"111","R_1sEy4VhyuZUp7jP",1,"1000000","bluemailbox"
"112","R_34IbmnyWlZM00iX",0,"1000000","bluemailbox"
"113","R_6JLPVUCK0BykdgX",0,"1000000","bluemailbox"
"114","R_5HBvGRsP00qawuv",1,"1000000","bluemailbox"
"115","R_1ir0MofN0BfOmf6",0,"1000000","bluemailbox"
"116","R_6O2DJI8lqJLFeti",1,"1000000","bluemailbox"
"117","R_5p4gFpgTO8oKkyv",0,"1000000","bluemailbox"
"118","R_7fyGkjDWRWG6uiZ",1,"1000000","bluemailbox"
"119","R_3o75jLaW8FENSwq",1,"1000000","bluemailbox"
"120","R_5DAWa9TDDQWvH9m",1,"1000000","bluemailbox"
"121","R_78wcx8dK05iOn4Z",1,"1000000","bluemailbox"
"122","R_11hDuEJljoBled2",0,"1000000","bluemailbox"
"123","R_438TLIDKXpcpAuu",1,"1000000","bluemailbox"
"124","R_6rTx9wmO4OC1kJH",1,"1000000","bluemailbox"
"125","R_3BbqCLvkwWWvibv",0,"1000000","bluemailbox"
"126","R_3MQFo9L5Bge6DuN",1,"1000000","bluemailbox"
"127","R_3Ys6CRwGOs14iYc",0,"1000000","bluemailbox"
"128","R_3mW8p46YTwW9WQr",0,"1000000","bluemailbox"
"129","R_1aIZzLrLuubM8v4",1,"1000000","bluemailbox"
"130","R_7irmKKp5NolN9Vo",1,"1000000","bluemailbox"
"131","R_3tbv9DVV6IT5PlG",1,"1000000","bluemailbox"
"132","R_3BVLEyZqOOMpybh",0,"1000000","bluemailbox"
"133","R_2WNEbmL9ZcKhgYW",1,"1000000","bluemailbox"
"134","R_3BeOFjXlPfAz7vh",1,"1000000","bluemailbox"
"135","R_6uWNdftBtqFaWyO",1,"1000000","bluemailbox"
"136","R_17B66EbYHOXZ64F",1,"1000000","bluemailbox"
"137","R_6zkUHHOpDX2HtN3",1,"1000000","bluemailbox"
"138","R_5vZFoAIu2EZeCtR",0,"1000000","bluemailbox"
"139","R_6QGoWDMxNFBCX33",1,"1000000","bluemailbox"
"140","R_7Lj9llqoOZcSpvD",0,"1000000","bluemailbox"
"141","R_6O9CG2C0O207at1",0,"1000000","bluemailbox"
"142","R_18HZhAGmEU6nMWe",0,"1000000","bluemailbox"
"143","R_7BQitgo2iZsMloZ",0,"1000000","bluemailbox"
"144","R_6IAh7ytNcysof85",1,"1000000","bluemailbox"
"145","R_13CldxSsgpiJvlK",0,"1000000","bluemailbox"
"146","R_3nY2JncGLT4qYSJ",1,"1000000","bluemailbox"
"147","R_5z64ZlToOFtmZW1",1,"1000000","bluemailbox"
"148","R_5ClrzgBMKoNrDc4",1,"1000000","bluemailbox"
"149","R_196sHHURARBekZD",0,"1000000","bluemailbox"
"150","R_7S1dwFLlHa82EtO",1,"1000000","bluemailbox"
"151","R_3a5UkZKT5uiKyu5",1,"1000000","bluemailbox"
"152","R_7CZW3EATp3bE7i8",1,"1000000","bluemailbox"
"153","R_1sjFxu8heG3fTlo",0,"1000000","bluemailbox"
"154","R_6kJG08ibKlZ6jC1",1,"1000000","bluemailbox"
"155","R_7exbV4ivkXfnmO8",0,"1000000","bluemailbox"
"156","R_6nRlNv3mqDwK11f",0,"1000000","bluemailbox"
"157","R_7DU1KHRVjHMH0S7",0,"1000000","bluemailbox"
"158","R_5958J1gn3SIPONP",0,"1000000","bluemailbox"
"159","R_1gnpkyzxfJJQb3u",0,"1000000","bluemailbox"
"160","R_4GCdoKkmH0cHZUo",0,"1000000","bluemailbox"
"161","R_51uqXmr8GBbUs6N",1,"1000000","bluemailbox"
"162","R_3aOAQmG2MbYIK3f",0,"1000000","bluemailbox"
"163","R_7cCx8iUzuSpsZOT",1,"1000000","bluemailbox"
"164","R_7l6mC9Kk1U9zFS9",0,"1000000","bluemailbox"
"165","R_5akSws3mFqXQ3Wf",0,"1000000","bluemailbox"
"166","R_5ZRvuXPlwHsIIdH",1,"1000000","bluemailbox"
"167","R_3PFsFeV53dEUeje",0,"1000000","bluemailbox"
"168","R_3iZEhWQ1h3LWf7j",0,"1000000","bluemailbox"
"169","R_1tEknzpQ6Qyyqm0",0,"1000000","bluemailbox"
"170","R_1OqPMOXoB0uQJer",0,"1000000","bluemailbox"
"171","R_5RogzklD47As1uV",1,"1000000","bluemailbox"
"172","R_7XhzfFtNQuQCILQ",0,"1000000","bluemailbox"
"173","R_5cn7TUfppWSDV3X",0,"1000000","bluemailbox"
"174","R_72xVeCAlk3iH4CI",0,"1000000","bluemailbox"
"175","R_1d4i6BzFCKIQRPl",0,"1000000","bluemailbox"
"176","R_7zGTIvQdTHsU2Zd",1,"1000000","bluemailbox"
"177","R_7iUatMq3qoX0H5W",0,"1000000","bluemailbox"
"178","R_6vcBemRTO2aJc8f",1,"1000000","bluemailbox"
"179","R_5NDNrg7FDHyJbhj",0,"1000000","bluemailbox"
"180","R_3triPKyZzjMNf7X",1,"1000000","bluemailbox"
"181","R_7VgVkZqZDUyIUeZ",1,"1000000","bluemailbox"
"182","R_615SY5LRQlDRhJY",1,"1000000","bluemailbox"
"183","R_5NOrAsXun1PvJPU",1,"1000000","bluemailbox"
"184","R_3fjq7GzMVxzuoiA",0,"1000000","bluemailbox"
"185","R_7D2GfXQWMtybzgf",1,"1000000","bluemailbox"
"186","R_1GxAGZ8MmJgQaMD",1,"1000000","bluemailbox"
"187","R_5Ehkop1y3phcyaZ",0,"1000000","bluemailbox"
"188","R_1wLfKwE6V1XhMUY",1,"1000000","bluemailbox"
"189","R_5o7t3BrFIWbf7IB",0,"1000000","bluemailbox"
"190","R_3QQXGT9OyAscW8w",1,"1000000","bluemailbox"
"191","R_7zeUcQ8HQLjJiOx",0,"1000000","bluemailbox"
"192","R_7HAeQLccGrgcA3k",0,"1000000","bluemailbox"
"193","R_63n5a3jHESM5bfr",1,"1000000","bluemailbox"
"194","R_7UfkFMiZuxQ3vVU",0,"1000000","bluemailbox"
"195","R_7gk9oET1266fU65",1,"1000000","bluemailbox"
"196","R_5gNs0HS6pGU3C0u",1,"1000000","bluemailbox"
"197","R_1v6Nr0unXJ2yyme",1,"1000000","bluemailbox"
"198","R_5pmtzSZjKFyRLKg",1,"1000000","bluemailbox"
"199","R_5RdPmifJ3nvKler",0,"100000","bluemailbox"
"200","R_7f6JXsKpwsfLDhC",0,"100000","bluemailbox"
"201","R_5Hp16i3zHpEH1LT",1,"100000","bluemailbox"
"202","R_1fSzyLCkBUG0Vbj",1,"100000","bluemailbox"
"203","R_60BjwxQ1isortRE",0,"100000","bluemailbox"
"204","R_6Lq9zFAs4jCL2ZH",0,"100000","bluemailbox"
"205","R_3EZLtbk8yjxMIrI",0,"100000","bluemailbox"
"206","R_3DuqpDxBnamDUPM",1,"100000","bluemailbox"
"207","R_3R9rjKDUwSXJeVl",1,"100000","bluemailbox"
"208","R_7h0f5zgwUSqYLWR",1,"100000","bluemailbox"
"209","R_7LRNUkmMcu35ueA",1,"100000","bluemailbox"
"210","R_6f2tggfYpKxISj1",0,"100000","bluemailbox"
"211","R_6JJCjw2UI2ffkiG",1,"100000","bluemailbox"
"212","R_6VF9jgGvIoETOMZ",0,"100000","bluemailbox"
"213","R_1e3Q9N5RzKSduiJ",1,"100000","bluemailbox"
"214","R_6oLvGItkZNgPC1Q",1,"100000","bluemailbox"
"215","R_7fUxnJsTaghuorc",1,"100000","bluemailbox"
"216","R_1LljRnrAevQTSDf",0,"100000","bluemailbox"
"217","R_3fgdwcUC2PsS80h",0,"100000","bluemailbox"
"218","R_5WuJIZRpW05YO3Z",0,"100000","bluemailbox"
"219","R_1XNx2bVwBjQwqZP",1,"100000","bluemailbox"
"220","R_7c2y9gxg4ZuTZKb",1,"100000","bluemailbox"
"221","R_1WRJEjyq7ugmqw9",1,"100000","bluemailbox"
"222","R_30P2LnfKRE1d7ch",0,"100000","bluemailbox"
"223","R_5Bd1wDSJWunVopH",0,"100000","bluemailbox"
"224","R_3DNxs5oNYHxrNpC",1,"100000","bluemailbox"
"225","R_5p139da0MVHsD4Z",1,"100000","bluemailbox"
"226","R_6CvmFHCgjbhnbx3",0,"100000","bluemailbox"
"227","R_1qX9JlCuKxgH1YU",1,"100000","bluemailbox"
"228","R_33wguO6j087IYFk",1,"100000","bluemailbox"
"229","R_6Sv1k7n3EY3xJI6",1,"100000","bluemailbox"
"230","R_19G9XvISWVTf6Br",0,"100000","bluemailbox"
"231","R_16kBWQuaV8wUe5o",1,"100000","bluemailbox"
"232","R_77lrzs37B64KdvJ",0,"100000","bluemailbox"
"233","R_6C6CVPGFlZxr8oV",0,"100000","bluemailbox"
"234","R_6QsbxSPrpRZfaDK",0,"100000","bluemailbox"
"235","R_1CNP2mYKELE2LTt",0,"100000","bluemailbox"
"236","R_1fOftTTHEeQUL8O",0,"100000","bluemailbox"
"237","R_1Zl9LS1ROyWRavv",1,"100000","bluemailbox"
"238","R_6YD3MHlVzj047zQ",1,"100000","bluemailbox"
"239","R_3ls3MpEVuhqu9xG",1,"100000","bluemailbox"
"240","R_1aKxLE1wW8MnC20",0,"100000","bluemailbox"
"241","R_6Bsxa7jB6O0lhat",1,"100000","bluemailbox"
"242","R_1JKgd4GeDyJdSFu",0,"100000","bluemailbox"
"243","R_1xOfFazMVvcgSBj",1,"100000","bluemailbox"
"244","R_6P5Ki0XsAjKB9uJ",0,"100000","bluemailbox"
"245","R_51iutn4fVKapuT1",1,"100000","bluemailbox"
"246","R_7AR1obNopJvb0hQ",0,"100000","bluemailbox"
"247","R_3eB2zz9yssjPGjD",1,"100000","bluemailbox"
"248","R_1foTUBk2vJjBXQf",1,"100000","bluemailbox"
"249","R_7uy2P25ZxtLC1Zh",0,"100000","bluemailbox"
"250","R_1se21ZwwxGB9DEJ",0,"100000","bluemailbox"
"251","R_5oI6lLJFJivlh1D",0,"100000","bluemailbox"
"252","R_5KATNLt2B8ralzj",0,"100000","bluemailbox"
"253","R_11ZpJ1NEJNuhfm6",1,"100000","bluemailbox"
"254","R_3tLoOkHbqM50mk1",1,"100000","bluemailbox"
"255","R_61AtFrKpGZ5HUWZ",1,"100000","bluemailbox"
"256","R_1e3JeQS3yEOsESy",1,"100000","bluemailbox"
"257","R_5xT07bC61oO1Dvb",1,"100000","bluemailbox"
"258","R_1Krn02XtwjN72TL",1,"100000","bluemailbox"
"259","R_5P0EeFcYeIuDmmt",1,"100000","bluemailbox"
"260","R_1PdlQxelfdGYAK2",1,"100000","bluemailbox"
"261","R_16eDxW811m3VbZM",1,"100000","bluemailbox"
"262","R_1yYqe4cBxZ47cpr",0,"100000","bluemailbox"
"263","R_5ouuc6n8uCwGB4y",1,"100000","bluemailbox"
"264","R_66mcL88y4HbYCLE",0,"100000","bluemailbox"
"265","R_4J92WK4lDBc1KWQ",0,"100000","bluemailbox"
"266","R_18AvcGTy8g5GuQn",1,"100000","bluemailbox"
"267","R_5mwQE9gVNFJYGaE",1,"100000","bluemailbox"
"268","R_67BeaTAKgLNLj5L",0,"100000","bluemailbox"
"269","R_3sgn0qAw5TKtAtw",1,"100000","bluemailbox"
"270","R_1Kg3xw7BfZ2WYM1",0,"100000","bluemailbox"
"271","R_6Ei1CxojnW2e6sj",0,"100000","bluemailbox"
"272","R_7HoRbkwWzuZIrUl",1,"100000","bluemailbox"
"273","R_54cvjyhwfYdVIDn",1,"100000","bluemailbox"
"274","R_3a9Vvch7ap1HvOo",1,"100000","bluemailbox"
"275","R_1DXSSWbWjk9IRgb",0,"100000","bluemailbox"
"276","R_76i1GiDWYW1bZIa",1,"100000","bluemailbox"
"277","R_7Eb3l7vk7RIVyA9",1,"100000","bluemailbox"
"278","R_7j11WHupxjlyRoZ",0,"100000","bluemailbox"
"279","R_6qVEs35IZjrWchF",0,"100000","bluemailbox"
"280","R_53uFXweaOctOQH7",1,"100000","bluemailbox"
"281","R_3e5mi67V25V9jyV",1,"100000","bluemailbox"
"282","R_67BtlgeG4xPnfxp",1,"100000","bluemailbox"
"283","R_5CXXRX2VrDeebiF",1,"100000","bluemailbox"
"284","R_6DomcBTN3Z4bC1z",0,"100000","bluemailbox"
"285","R_7vexT78rtwVINGS",1,"100000","bluemailbox"
"286","R_10S9gmEgPz5XJRn",1,"100000","bluemailbox"
"287","R_1A2xTeY9CfXnqgx",1,"100000","bluemailbox"
"288","R_1B2SIUEPCHsiDBn",1,"100000","bluemailbox"
"289","R_5NwVDnrxIGNbfgr",1,"100000","bluemailbox"
"290","R_3Pc8KMN4jxqiPFw",1,"100000","bluemailbox"
"291","R_7MyEIxe92Tj0ekx",0,"100000","bluemailbox"
"292","R_4xxtVZBdbvBvs9z",0,"100000","bluemailbox"
"293","R_6M6wcKLgqNHdQso",0,"100000","bluemailbox"
"294","R_6AesSerAQPGYyaJ",0,"100000","bluemailbox"
"295","R_6G6Yv8m12dlADKN",1,"100000","bluemailbox"
"296","R_7MhEveujIfnhkak",0,"100000","bluemailbox"
"297","R_5GnokOz4d3Gz2Br",1,"100000","bluemailbox"
"298","R_15SWBei8bCcYpbf",1,"100000","bluemailbox"
"299","R_7QgBdUWj72saymS",1,"100000","bluemailbox"
"300","R_5GcRDCTDgxetCHU",0,"100000","bluemailbox"
"301","R_1eKWusLawIOfZTj",1,"100000","bluemailbox"
"302","R_674luqY6eSalQr4",0,"100000","bluemailbox"
"303","R_6MPTeiF2Pl1t0SB",0,"100000","bluemailbox"
"304","R_3gbb7u0jpFabcid",1,"100000","bluemailbox"
"305","R_1R0bIiGWnp2QGjv",1,"100000","bluemailbox"
"306","R_3Di3d9K1bfbGd2h",1,"100000","bluemailbox"
"307","R_1YzjqQQP2kYjvN4",1,"100000","bluemailbox"
"308","R_1t2Le8dbGuUDPmj",0,"100000","bluemailbox"
"309","R_1sEy4VhyuZUp7jP",1,"100000","bluemailbox"
"310","R_34IbmnyWlZM00iX",0,"100000","bluemailbox"
"311","R_6JLPVUCK0BykdgX",0,"100000","bluemailbox"
"312","R_5HBvGRsP00qawuv",1,"100000","bluemailbox"
"313","R_1ir0MofN0BfOmf6",0,"100000","bluemailbox"
"314","R_6O2DJI8lqJLFeti",1,"100000","bluemailbox"
"315","R_5p4gFpgTO8oKkyv",0,"100000","bluemailbox"
"316","R_7fyGkjDWRWG6uiZ",0,"100000","bluemailbox"
"317","R_3o75jLaW8FENSwq",1,"100000","bluemailbox"
"318","R_5DAWa9TDDQWvH9m",1,"100000","bluemailbox"
"319","R_78wcx8dK05iOn4Z",1,"100000","bluemailbox"
"320","R_11hDuEJljoBled2",0,"100000","bluemailbox"
"321","R_438TLIDKXpcpAuu",1,"100000","bluemailbox"
"322","R_6rTx9wmO4OC1kJH",1,"100000","bluemailbox"
"323","R_3BbqCLvkwWWvibv",0,"100000","bluemailbox"
"324","R_3MQFo9L5Bge6DuN",1,"100000","bluemailbox"
"325","R_3Ys6CRwGOs14iYc",0,"100000","bluemailbox"
"326","R_3mW8p46YTwW9WQr",0,"100000","bluemailbox"
"327","R_1aIZzLrLuubM8v4",1,"100000","bluemailbox"
"328","R_7irmKKp5NolN9Vo",1,"100000","bluemailbox"
"329","R_3tbv9DVV6IT5PlG",1,"100000","bluemailbox"
"330","R_3BVLEyZqOOMpybh",0,"100000","bluemailbox"
"331","R_2WNEbmL9ZcKhgYW",1,"100000","bluemailbox"
"332","R_3BeOFjXlPfAz7vh",1,"100000","bluemailbox"
"333","R_6uWNdftBtqFaWyO",1,"100000","bluemailbox"
"334","R_17B66EbYHOXZ64F",1,"100000","bluemailbox"
"335","R_6zkUHHOpDX2HtN3",1,"100000","bluemailbox"
"336","R_5vZFoAIu2EZeCtR",0,"100000","bluemailbox"
"337","R_6QGoWDMxNFBCX33",1,"100000","bluemailbox"
"338","R_7Lj9llqoOZcSpvD",0,"100000","bluemailbox"
"339","R_6O9CG2C0O207at1",0,"100000","bluemailbox"
"340","R_18HZhAGmEU6nMWe",0,"100000","bluemailbox"
"341","R_7BQitgo2iZsMloZ",0,"100000","bluemailbox"
"342","R_6IAh7ytNcysof85",1,"100000","bluemailbox"
"343","R_13CldxSsgpiJvlK",0,"100000","bluemailbox"
"344","R_3nY2JncGLT4qYSJ",1,"100000","bluemailbox"
"345","R_5z64ZlToOFtmZW1",0,"100000","bluemailbox"
"346","R_5ClrzgBMKoNrDc4",1,"100000","bluemailbox"
"347","R_196sHHURARBekZD",0,"100000","bluemailbox"
"348","R_7S1dwFLlHa82EtO",1,"100000","bluemailbox"
"349","R_3a5UkZKT5uiKyu5",1,"100000","bluemailbox"
"350","R_7CZW3EATp3bE7i8",1,"100000","bluemailbox"
"351","R_1sjFxu8heG3fTlo",0,"100000","bluemailbox"
"352","R_6kJG08ibKlZ6jC1",0,"100000","bluemailbox"
"353","R_7exbV4ivkXfnmO8",0,"100000","bluemailbox"
"354","R_6nRlNv3mqDwK11f",0,"100000","bluemailbox"
"355","R_7DU1KHRVjHMH0S7",0,"100000","bluemailbox"
"356","R_5958J1gn3SIPONP",0,"100000","bluemailbox"
"357","R_1gnpkyzxfJJQb3u",0,"100000","bluemailbox"
"358","R_4GCdoKkmH0cHZUo",0,"100000","bluemailbox"
"359","R_51uqXmr8GBbUs6N",1,"100000","bluemailbox"
"360","R_3aOAQmG2MbYIK3f",0,"100000","bluemailbox"
"361","R_7cCx8iUzuSpsZOT",1,"100000","bluemailbox"
"362","R_7l6mC9Kk1U9zFS9",0,"100000","bluemailbox"
"363","R_5akSws3mFqXQ3Wf",0,"100000","bluemailbox"
"364","R_5ZRvuXPlwHsIIdH",0,"100000","bluemailbox"
"365","R_3PFsFeV53dEUeje",0,"100000","bluemailbox"
"366","R_3iZEhWQ1h3LWf7j",0,"100000","bluemailbox"
"367","R_1tEknzpQ6Qyyqm0",0,"100000","bluemailbox"
"368","R_1OqPMOXoB0uQJer",0,"100000","bluemailbox"
"369","R_5RogzklD47As1uV",0,"100000","bluemailbox"
"370","R_7XhzfFtNQuQCILQ",0,"100000","bluemailbox"
"371","R_5cn7TUfppWSDV3X",0,"100000","bluemailbox"
"372","R_72xVeCAlk3iH4CI",0,"100000","bluemailbox"
"373","R_1d4i6BzFCKIQRPl",0,"100000","bluemailbox"
"374","R_7zGTIvQdTHsU2Zd",0,"100000","bluemailbox"
"375","R_7iUatMq3qoX0H5W",0,"100000","bluemailbox"
"376","R_6vcBemRTO2aJc8f",1,"100000","bluemailbox"
"377","R_5NDNrg7FDHyJbhj",0,"100000","bluemailbox"
"378","R_3triPKyZzjMNf7X",0,"100000","bluemailbox"
"379","R_7VgVkZqZDUyIUeZ",1,"100000","bluemailbox"
"380","R_615SY5LRQlDRhJY",1,"100000","bluemailbox"
"381","R_5NOrAsXun1PvJPU",1,"100000","bluemailbox"
"382","R_3fjq7GzMVxzuoiA",0,"100000","bluemailbox"
"383","R_7D2GfXQWMtybzgf",1,"100000","bluemailbox"
"384","R_1GxAGZ8MmJgQaMD",1,"100000","bluemailbox"
"385","R_5Ehkop1y3phcyaZ",0,"100000","bluemailbox"
"386","R_1wLfKwE6V1XhMUY",1,"100000","bluemailbox"
"387","R_5o7t3BrFIWbf7IB",0,"100000","bluemailbox"
"388","R_3QQXGT9OyAscW8w",1,"100000","bluemailbox"
"389","R_7zeUcQ8HQLjJiOx",0,"100000","bluemailbox"
"390","R_7HAeQLccGrgcA3k",1,"100000","bluemailbox"
"391","R_63n5a3jHESM5bfr",1,"100000","bluemailbox"
"392","R_7UfkFMiZuxQ3vVU",0,"100000","bluemailbox"
"393","R_7gk9oET1266fU65",1,"100000","bluemailbox"
"394","R_5gNs0HS6pGU3C0u",1,"100000","bluemailbox"
"395","R_1v6Nr0unXJ2yyme",1,"100000","bluemailbox"
"396","R_5pmtzSZjKFyRLKg",1,"100000","bluemailbox"
"397","R_5RdPmifJ3nvKler",0,"10000","bluemailbox"
"398","R_7f6JXsKpwsfLDhC",0,"10000","bluemailbox"
"399","R_5Hp16i3zHpEH1LT",1,"10000","bluemailbox"
"400","R_1fSzyLCkBUG0Vbj",1,"10000","bluemailbox"
"401","R_60BjwxQ1isortRE",0,"10000","bluemailbox"
